Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,383.02
1,2022-01-04,9,2022-01-13,386.09
2,2022-01-13,9,2022-01-24,381.24
3,2022-01-24,9,2022-02-02,385.68
4,2022-02-02,9,2022-02-11,388.78
5,2022-02-11,9,2022-02-23,378.12
6,2022-02-23,9,2022-03-04,390.88
7,2022-03-04,9,2022-03-15,353.09
8,2022-03-15,9,2022-03-24,381.16
9,2022-03-24,9,2022-04-04,384.93
10,2022-04-04,9,2022-04-19,381.5
11,2022-04-19,9,2022-04-28,346.17
12,2022-04-28,9,2022-05-11,349.62
13,2022-05-11,9,2022-05-23,354.75
14,2022-05-23,9,2022-06-01,369.42
15,2022-06-01,9,2022-06-13,367.63
16,2022-06-13,9,2022-06-22,370.97
17,2022-06-22,9,2022-07-01,374.65
18,2022-07-01,9,2022-07-12,378.52
19,2022-07-12,9,2022-07-22,380.6
20,2022-07-22,9,2022-08-04,378.42
21,2022-08-04,9,2022-08-16,368.94
22,2022-08-16,9,2022-08-25,367.09
23,2022-08-25,9,2022-09-05,366.09
24,2022-09-05,9,2022-09-14,346.54
25,2022-09-14,9,2022-09-23,338.97
26,2022-09-23,9,2022-10-04,328.13
27,2022-10-04,9,2022-10-17,329.74
28,2022-10-17,9,2022-10-27,319.96
29,2022-10-27,9,2022-11-07,321.43
30,2022-11-07,9,2022-11-16,342.84
31,2022-11-16,9,2022-11-25,343.26
32,2022-11-25,9,2022-12-07,340.02
33,2022-12-07,9,2022-12-19,330.89
34,2022-12-19,9,2022-12-28,334.25
